timestamp,open,high,low,close,volume
2025-09-24 16:05:35.388512,30248.685661204494,30302.353765256736,30009.521512385338,30248.685661204494,843.8770928489622
2025-09-25 16:05:35.388512,30243.37994073602,30327.497619691254,30153.473687292953,30243.37994073602,1583.3788525895993
2025-09-26 16:05:35.388512,30552.455355976297,30714.91304245259,30551.668801018568,30552.455355976297,1580.0548048191115
2025-09-27 16:05:35.388512,31211.66729853951,31369.737606344745,31204.620209474797,31211.66729853951,1461.721449327946
2025-09-28 16:05:35.388512,31168.005948650174,31374.656353843737,31100.496127928287,31168.005948650174,1540.92266670065
2025-09-29 16:05:35.388512,31124.351165870503,31265.02492185777,31030.923676018378,31124.351165870503,1314.0866650213943
2025-09-30 16:05:35.388512,31806.03629207346,31883.291582154758,31645.89322766607,31806.03629207346,877.6985883604291
2025-10-01 16:05:35.388512,32163.010183734623,32240.078076371454,32141.653260981428,32163.010183734623,1018.5439902558792
2025-10-02 16:05:35.388512,32025.22042936064,32102.477582306547,32007.176084603856,32025.22042936064,772.3965752021385
2025-10-03 16:05:35.388512,32292.244446795026,32870.15417039324,32215.078621686214,32292.244446795026,1862.6758420004426
2025-10-04 16:05:35.388512,32156.87736967004,32242.510946274015,32050.135137956706,32156.87736967004,1375.0876921491808
2025-10-05 16:05:35.388512,32020.585468241938,32190.920314269028,31851.88915446626,32020.585468241938,1101.2771251454599
2025-10-06 16:05:35.388512,32167.37037686835,32310.47064139233,31937.253251258007,32167.37037686835,1193.008705466199
2025-10-07 16:05:35.388512,31452.058279005232,31549.766966701103,31260.406755720454,31452.058279005232,1920.925009417723
2025-10-08 16:05:35.388512,30812.09114600002,30859.381532696072,30762.244044203082,30812.09114600002,730.0271046741203
2025-10-09 16:05:35.388512,30637.17613430363,30751.02151737762,30524.90315382015,30637.17613430363,1379.3447480251957
2025-10-10 16:05:35.388512,30282.04368616986,30397.967468350496,30049.370889841484,30282.04368616986,1258.833018326699
2025-10-11 16:05:35.388512,30457.742619207973,30493.265410218974,30440.391424064044,30457.742619207973,1417.1813531519717
2025-10-12 16:05:35.388512,30144.53298899949,30217.337521173857,29967.638411389915,30144.53298899949,527.1652757312607
2025-10-13 16:05:35.388512,29629.611508465372,29641.89262937332,29619.483736253856,29629.611508465372,1808.1858634162272
2025-10-14 16:05:35.388512,30265.871016033994,30613.06980103502,29956.758827301695,30265.871016033994,1898.1774237254185
2025-10-15 16:05:35.388512,30225.56049583938,30505.650274728145,29962.2593694729,30225.56049583938,1347.6997753838134
2025-10-16 16:05:35.388512,30302.57177771455,30405.51080627073,30265.22715544269,30302.57177771455,1544.9762358153384
